Date,Time,Temperature,Humidity
1/28/20,10:33,22.1,39.6
01/28/20,10:43,22.2,39.5
01/28/20,10:48,22.2,39.4
01/28/20,10:49,22.2,39.2
01/28/20,10:54,22.2,39.3
01/28/20,10:59,22.2,39.3
01/28/20,11:04,22.2,39.2
01/28/20,11:09,22.3,39.3
01/28/20,11:14,22.2,39.0
01/28/20,11:19,22.2,39.3
01/28/20,11:24,22.3,39.0
01/28/20,11:29,22.3,39.5
01/28/20,11:34,22.3,39.0
01/28/20,11:39,22.4,39.2
01/28/20,11:44,22.6,40.3
01/28/20,11:49,22.8,41.3
01/29/20,11:54,22.9,40.4
01/29/20,11:59,22.9,40.4
01/29/20,12:04,22.8,40.6
01/29/20,12:09,22.7,39.8
01/29/20,12:14,22.6,39.6
01/29/20,12:19,22.6,40.6
01/29/20,12:24,22.6,40.4
01/29/20,12:29,22.7,40.6
01/29/20,12:34,22.7,39.4
01/29/20,12:39,22.8,39.6
01/29/20,12:44,22.9,39.8
01/29/20,12:49,22.9,39.8
01/29/20,12:54,22.9,40.4
01/29/20,13:06,23.0,40.0
01/29/20,13:11,23.1,40.3
01/29/20,13:16,23.0,40.8
01/29/20,13:21,23.0,40.8
01/29/20,13:26,23.1,41.0
01/29/20,13:31,23.1,41.1
01/29/20,13:36,23.1,40.0
01/29/20,13:41,23.0,39.8
01/29/20,13:46,23.0,39.8
01/29/20,13:51,23.2,39.7
01/30/20,13:56,23.1,39.7
01/30/20,14:01,23.2,39.8
01/30/20,14:06,23.2,39.8
01/30/20,14:11,23.1,39.8
01/30/20,14:16,23.1,40.0
01/30/20,14:22,23.1,40.0
01/30/20,14:27,23.1,40.4
01/30/20,14:32,23.2,40.4
01/30/20,14:37,23.3,40.4
01/30/20,14:42,23.4,40.7
01/30/20,14:47,22.8,37.5
01/30/20,14:52,22.7,40.3
01/30/20,14:57,22.9,39.7
01/30/20,15:02,22.9,39.9
01/30/20,15:04,21.0,39.9
01/30/20,13:56,23.1,39.7
01/30/20,14:01,23.2,39.8
01/30/20,14:06,23.2,39.8
01/30/20,14:11,23.1,39.8
01/30/20,14:16,23.1,40.0
01/30/20,14:22,23.1,40.0
01/30/20,14:27,23.1,40.4
01/30/20,14:32,23.2,40.4
01/30/20,14:37,23.3,40.4
01/30/20,14:42,23.4,40.7
01/30/20,14:47,22.8,37.5
01/30/20,14:52,22.7,40.3
01/30/20,14:57,22.9,39.7
01/30/20,15:02,22.9,39.9
01/30/20,15:04,21.0,39.9
01/30/20,13:56,23.1,39.7
01/31/20,14:01,23.2,39.8
01/31/20,14:06,23.2,39.8
01/31/20,14:11,23.1,39.8
01/31/20,14:16,23.1,40.0
01/31/20,14:22,23.1,40.0
01/31/20,14:27,23.1,40.4
01/31/20,14:32,23.2,40.4
01/31/20,14:37,23.3,40.4
01/31/20,14:42,23.4,40.7
01/31/20,14:47,22.8,37.5
01/31/20,14:52,22.7,40.3
01/31/20,14:57,22.9,39.7
01/31/20,15:02,22.9,39.9
01/31/20,15:04,21.0,39.9
01/30/20,13:56,23.1,39.7
01/31/20,14:01,23.2,39.8
01/31/20,14:06,23.2,39.8
01/31/20,14:11,23.1,39.8
01/31/20,14:16,23.1,40.0
01/31/20,14:22,23.1,40.0
01/31/20,14:27,23.1,40.4
01/31/20,14:32,23.2,40.4
01/31/20,14:37,23.3,40.4
01/31/20,14:42,23.4,40.7
01/31/20,14:47,22.8,37.5
01/31/20,14:52,22.7,40.3
01/31/20,14:57,22.9,39.7
01/31/20,15:02,22.9,39.9
02/01/20,15:04,21.0,39.9
02/02/20,15:04,21.0,39.9
02/03/20,15:04,21.0,39.9
02/04/20,15:04,21.0,39.9
02/05/20,15:04,21.0,39.9
02/06/20,15:04,21.0,39.9
02/07/20,15:04,21.0,39.9
02/08/20,15:04,21.0,39.9
02/09/20,15:04,21.0,39.9
02/10/20,15:04,21.0,39.9


